"ID","Tarea","Owner","Backup","Esfuerzo","Prioridad"
"A-001","Setup pyproject.toml + requirements.txt + venv","Sandro","junior","1 h","P0"
"A-002","config.py centralizado con Pydantic Settings","junior","Sandro","45 min","P0"
"A-003","services/citizen_hash.py — keccak256(DNI || nombre || salt)","junior","Sandro","1 h","P0"
"A-004","tests/test_citizen_hash.py — edge cases y determinismo","Gabriel","junior","1 h","P0"
"A-005","models/auth.py — RegisterRequest, AuthStatus, RegisterResponse","junior","Sandro","45 min","P0"
"A-006","models/proposal.py — Proposal, ProposalCreate, ProposalResult","junior","Sandro","1 h","P0"
"A-007","models/vote.py — VoteRequest, VoteResult","junior","Sandro","30 min","P0"
"A-008","models/report.py — Report con metadata trazable","junior","Sandro","45 min","P0"
"A-009","services/blockchain_client.py — base con web3.py + ABIs","Sandro","junior","2 h","P0"
"A-010","blockchain_client.register_citizen()","Sandro","junior","1 h","P0"
"A-011","blockchain_client — create_proposal, get_proposal, list_active","junior","Sandro","1.5 h","P0"
"A-012","blockchain_client — cast_vote, tally, has_voted, close_proposal","Sandro","junior","1.5 h","P0"
"A-013","services/event_listener.py — poll de ProposalClosed","Sandro","junior","2 h","P0"
"A-014","routes/auth.py — POST /auth/register, GET /auth/status","junior","Sandro","2 h","P0"
"A-015","routes/proposals.py — GET list, POST, GET /{id}/results","junior","Sandro","2.5 h","P0"
"A-016","routes/votes.py — POST /proposals/{id}/vote","junior","Sandro","1.5 h","P0"
"A-017","routes/reports.py — GET /reports/{proposal_id}","junior","Sandro","1.5 h","P0"
"A-018","routes/health.py + /hermes/status","junior","Sandro","1 h","P1"
"A-019","middleware/logging.py — structlog + filtro PII","Tatiana","Sandro","1.5 h","P0"
"A-020","Middleware CORS configurable desde env","junior","Sandro","30 min","P1"
"A-021","api/main.py — FastAPI app factory + lifespan + routers","Sandro","junior","1 h","P0"
"A-022","hermes/llm_client.py — Anthropic SDK + OpenRouter compat","Sandro","junior","1.5 h","P0"
"A-023","hermes/reporter.py — generar reporte de cierre (SOUL + INSTINCT + datos)","Sandro","junior","2.5 h","P0"
"A-024","hermes/runtime.py — loop principal (listener → reporter → cache)","Sandro","junior","2 h","P0"
"A-025","hermes/memory/MEMORY.md y USER.md (templates Sprint 1)","Tatiana","Sandro","45 min","P1"
"A-026","MCP tool register_citizen","Sandro","junior","1 h","P0"
"A-027","MCP tools list_proposals + get_proposal","junior","Sandro","1 h","P0"
"A-028","MCP tool cast_vote","junior","Sandro","1 h","P0"
"A-029","MCP tool generate_report","Sandro","junior","1 h","P0"
"A-030","MCP tool get_hermes_status","junior","Sandro","45 min","P1"
"A-031","mcp_server/transports.py — stdio + SSE","Sandro","junior","1.5 h","P0"
"A-032","mcp_server/server.py — entrypoint con registro de tools","Sandro","junior","1.5 h","P0"
"A-033","Tests blockchain_client con mocks","Gabriel","junior","2 h","P0"
"A-034","Tests integration API (httpx + AsyncClient)","Gabriel","Sandro","2.5 h","P0"
"A-035","Tests Hermes (reporter + listener) con fixtures LLM","Gabriel","Sandro","2 h","P0"
"A-036","Tests MCP tools","Gabriel","junior","1.5 h","P1"
"A-037","E2E fullstack: API → blockchain (hardhat local)","Gabriel","Sandro","2 h","P0"
"A-038","Pre-commit hook (gitleaks + ruff + mypy)","Tatiana","Sandro","1 h","P0"
"A-039","Tests de aserción NO-PII (DNI nunca en responses ni logs)","Tatiana","Gabriel","1 h","P0"
"A-040","Demo script + grabación final","Eduardo","Mario / Grecia","2 h","P0"
