"ID","Tarea","Owner","Backup","Esfuerzo","Prioridad","Capa"
"B-001","Inicializar proyecto Hardhat + TypeScript en blockchain/","Orlando","junior (pair)","1 h","P0","blockchain"
"B-002","Configurar hardhat.config.ts con red zkTanenbaum (Chain 57057)","Orlando","Sandro","45 min","P0","blockchain"
"B-003",".env + .gitignore seguros (sin claves al repo)","Tatiana","Orlando","30 min","P0","blockchain"
"B-004","Definir interface ICitizenRegistry.sol","junior","Orlando","30 min","P0","blockchain"
"B-005","Implementar CitizenRegistry.sol","Orlando","junior (pair)","1.5 h","P0","blockchain"
"B-006","Definir interface IVote.sol","junior","Orlando","30 min","P0","blockchain"
"B-007","Vote.sol — storage, constructor y createProposal","Orlando","Sandro","1 h","P0","blockchain"
"B-008","Vote.sol — castVote con invariantes completas","Orlando","Sandro","1 h","P0","blockchain"
"B-009","Vote.sol — closeProposal + cancelProposal + cierre por deadline","Orlando","Sandro","45 min","P0","blockchain"
"B-010","Tests unitarios CitizenRegistry","Gabriel","Orlando","1.5 h","P0","blockchain"
"B-011","Tests unitarios Vote.sol","Gabriel","Orlando","2 h","P0","blockchain"
"B-012","Test E2E: registro → propuesta → voto → cierre","Gabriel","Sandro","2 h","P0","blockchain"
"B-013","Cobertura ≥ 80% + reporte HTML","Gabriel","Orlando","45 min","P1","blockchain"
"B-014","scripts/deploy.ts — desplegar contratos + escribir JSON","Orlando","Sandro","1.5 h","P0","blockchain"
"B-015","deploy.ts — copiar ABIs a shared/abis/","Orlando","junior","30 min","P0","blockchain"
"B-016","scripts/seed-proposals.ts — crear propuestas de prueba","Orlando","junior","45 min","P1","blockchain"
"B-017","scripts/verify.ts — verificar contratos en explorer zkTanenbaum","Orlando","Sandro","1 h","P1","blockchain"
"B-018","Solicitar TSYS al faucet / Syscoin Foundation","Eduardo","Orlando","30 min + tiempo de espera","P0","blockchain"
"B-019","Deploy real en zkTanenbaum (chain 57057)","Orlando","Sandro","1 h","P0","blockchain"
