"ID","Tarea","Owner","Backup","Esfuerzo","Prioridad"
"B-001","Inicializar proyecto Hardhat + TypeScript en blockchain/","Orlando","junior (pair)","1 h","P0"
"B-002","Configurar hardhat.config.ts con red zkTanenbaum (Chain 57057)","Orlando","Sandro","45 min","P0"
"B-003",".env + .gitignore seguros (sin claves al repo)","Tatiana","Orlando","30 min","P0"
"B-004","Definir interface ICitizenRegistry.sol","junior","Orlando","30 min","P0"
"B-005","Implementar CitizenRegistry.sol","Orlando","junior (pair)","1.5 h","P0"
"B-006","Definir interface IVote.sol","junior","Orlando","30 min","P0"
"B-007","Vote.sol — storage, constructor y createProposal","Orlando","Sandro","1 h","P0"
"B-008","Vote.sol — castVote con invariantes completas","Orlando","Sandro","1 h","P0"
"B-009","Vote.sol — closeProposal + cancelProposal + cierre por deadline","Orlando","Sandro","45 min","P0"
"B-010","Tests unitarios CitizenRegistry","Gabriel","Orlando","1.5 h","P0"
"B-011","Tests unitarios Vote.sol","Gabriel","Orlando","2 h","P0"
"B-012","Test E2E: registro → propuesta → voto → cierre","Gabriel","Sandro","2 h","P0"
"B-013","Cobertura ≥ 80% + reporte HTML","Gabriel","Orlando","45 min","P1"
"B-014","scripts/deploy.ts — desplegar contratos + escribir JSON","Orlando","Sandro","1.5 h","P0"
"B-015","deploy.ts — copiar ABIs a shared/abis/","Orlando","junior","30 min","P0"
"B-016","scripts/seed-proposals.ts — crear propuestas de prueba","Orlando","junior","45 min","P1"
"B-017","scripts/verify.ts — verificar contratos en explorer zkTanenbaum","Orlando","Sandro","1 h","P1"
"B-018","Solicitar TSYS al faucet / Syscoin Foundation","Eduardo","Orlando","30 min + tiempo de espera","P0"
"B-019","Deploy real en zkTanenbaum (chain 57057)","Orlando","Sandro","1 h","P0"
"B-020","Smoke test on-chain manual con cast + console","Gabriel","Orlando","1 h","P0"
"B-021","Actualizar blockchain/README.md con direcciones reales","Tatiana","Orlando","30 min","P1"
"B-022","Mini-runbook: redeploy y rollback de emergencia","Tatiana","Orlando","45 min","P2"
